age,education,familySize,typeOfHousing,houseOwnership,householdAnnualIncome,ageOfBuilding,freqOfMoving,ageOfCustomerAccountInDays,avgDailyUsage,lateFeePayments,AvgComplaintsRaised,AvgComplaintsResolved,modeOfPayment,typeOfPlanI,typeOfPlanII,Target
40,High,Small,3BHK-Apt,Owned,High,20-30yrs,3,>5yrs,3.970773535,2,4,0,SD,Fixed,Fixed,No
35,High,Medium,2BHK-Apt,Rented,High,>30yrs,5,2-5yrs,2.519913247,0,9,8,SD,Variable,Variable,Yes
39,medium,Small,5BHK-House,Owned,Low,20-30yrs,3,1-2yrs,7.77568724,0,4,2,SD,Fixed,Fixed,No
54,medium,Medium,Mansion,Owned,Low,20-30yrs,3,1-2yrs,2.132570317,1,3,1,Others,Variable,Variable,No
38,low,Small,3BHK-Apt,Owned,Low,20-30yrs,7,1-2yrs,7.268035415,2,6,0,SD,Fixed,Fixed,Yes
38,High,Medium,2BHK-Apt,Rented,Medium,>30yrs,3,>10yrs,3.084477391,0,2,1,SD,Fixed,Fixed,No
34,High,Medium,3BHK-Apt,Rented,Low,20-30yrs,2,>10yrs,1.487132666,2,4,0,DD,Fixed,Fixed,No
33,medium,Medium,2BHK-Apt,Rented,Low,<10yrs,3,2-5yrs,7.443844333,3,1,0,Others,Variable,Variable,No
39,low,Large,2BHK-Apt,Owned,High,10-20yrs,3,2-5yrs,13.53029485,2,2,0,SD,Fixed,Fixed,Yes
25,low,Small,Mansion,Rented,Low,<10yrs,5,2-5yrs,7.59086708,0,8,7,PPM,Fixed,Fixed,No
59,High,Large,2BHK-Apt,Owned,Low,>30yrs,6,2-5yrs,5.680109208,2,2,0,Others,Variable,Variable,No
51,High,Large,2BHK-Apt,Rented,Low,20-30yrs,2,2-5yrs,3.033031209,1,9,3,DD,Variable,Variable,No
43,High,Medium,2BHK-Apt,Owned,Medium,20-30yrs,3,2-5yrs,1.855211992,2,4,3,PPM,Fixed,Fixed,No
33,low,Small,3BHK-Apt,Owned,Low,<10yrs,2,2-5yrs,0.429941682,1,9,8,Others,Variable,Variable,No
47,medium,Small,1BHK-Apt,Rented,Medium,20-30yrs,1,>5yrs,8.650642029,1,3,0,DD,Variable,Variable,No
60,medium,Small,2BHK-Apt,Owned,High,10-20yrs,4,>5yrs,2.173051614,1,10,2,Others,Fixed,Fixed,No
50,High,Medium,2BHK-Apt,Owned,High,10-20yrs,5,>5yrs,1.1446691,1,2,0,DD,Fixed,Fixed,No
29,medium,Small,Mansion,Owned,High,<10yrs,1,>5yrs,2.048956731,1,5,0,DD,Fixed,Fixed,No
45,low,Large,3BHK-Apt,Rented,Low,<10yrs,9,>5yrs,7.713817145,0,5,2,SD,Variable,Variable,No
41,High,Large,Mansion,Owned,Low,10-20yrs,1,2-5yrs,1.504691963,0,2,1,PPM,Fixed,Fixed,No
31,High,Small,5BHK-House,Owned,Medium,20-30yrs,6,2-5yrs,3.859240018,2,9,1,DD,Fixed,Fixed,Yes
35,medium,Small,3BHK-Apt,Rented,Medium,10-20yrs,6,>10yrs,0.554473135,1,6,0,Others,Fixed,Fixed,Yes
48,High,Medium,2BHK-Apt,Owned,Medium,10-20yrs,5,>10yrs,5.497241194,0,4,0,DD,Fixed,Fixed,Yes
43,High,Medium,Mansion,Owned,Low,10-20yrs,2,1-2yrs,3.818040439,0,4,3,Others,Fixed,Fixed,No
42,High,Medium,5BHK-House,Owned,Low,20-30yrs,3,<1yr,8.176613177,3,9,8,DD,Fixed,Fixed,No
28,low,Medium,5BHK-House,Owned,Medium,10-20yrs,2,2-5yrs,5.990807692,4,7,5,SD,Variable,Variable,No
24,low,Medium,3BHK-Apt,Rented,Medium,20-30yrs,5,>5yrs,3.376111645,4,6,0,Others,Variable,Variable,Yes
48,medium,Medium,3BHK-Apt,Owned,High,20-30yrs,4,>10yrs,5.977650567,1,1,0,Others,Fixed,Fixed,No
45,low,Small,Mansion,Rented,Low,20-30yrs,2,1-2yrs,8.186466481,1,5,2,PPM,Variable,Variable,Yes
33,medium,Medium,Mansion,Owned,Low,10-20yrs,3,1-2yrs,2.938166534,0,0,0,Others,Fixed,Fixed,No
54,High,Small,1BHK-Apt,Owned,High,<10yrs,4,2-5yrs,1.536532305,1,2,0,SD,Variable,Variable,No
43,medium,Small,5BHK-House,Rented,Low,20-30yrs,2,>10yrs,3.838321693,0,7,0,PPM,Fixed,Fixed,No
31,medium,Large,5BHK-House,Owned,Medium,20-30yrs,6,>5yrs,1.000419565,1,9,7,SD,Variable,Variable,No
33,medium,Small,1BHK-Apt,Owned,Medium,20-30yrs,4,2-5yrs,1.518382912,2,0,0,DD,Variable,Variable,Yes
47,medium,Medium,3BHK-Apt,Rented,Medium,<10yrs,3,>5yrs,8.362424652,0,3,0,DD,Variable,Variable,Yes
32,medium,Large,Mansion,Rented,Low,10-20yrs,1,2-5yrs,1.621060659,1,3,0,PPM,Fixed,Fixed,No
38,medium,Medium,2BHK-Apt,Owned,Medium,>30yrs,1,1-2yrs,1.700211301,1,4,2,Others,Variable,Variable,No
36,medium,Medium,2BHK-Apt,Owned,Low,>30yrs,6,1-2yrs,5.938056614,1,8,3,DD,Variable,Variable,Yes
38,High,Medium,3BHK-Apt,Rented,High,10-20yrs,4,1-2yrs,2.85182438,3,6,5,Others,Fixed,Fixed,No
50,low,Medium,1BHK-Apt,Rented,Low,>30yrs,7,2-5yrs,0.794324567,2,10,0,PPM,Fixed,Fixed,Yes
42,High,Large,5BHK-House,Owned,Medium,>30yrs,5,1-2yrs,3.608689506,2,4,2,SD,Fixed,Fixed,No
36,low,Small,5BHK-House,Owned,Low,20-30yrs,5,2-5yrs,2.771430598,4,4,1,SD,Variable,Variable,No
38,low,Small,2BHK-Apt,Owned,Low,20-30yrs,1,2-5yrs,6.503169956,0,2,0,SD,Fixed,Fixed,No
29,medium,Medium,3BHK-Apt,Owned,Low,>30yrs,4,2-5yrs,0.746220093,0,6,4,Others,Variable,Variable,Yes
37,High,Small,5BHK-House,Rented,Low,<10yrs,6,>10yrs,1.360252158,0,7,5,Others,Variable,Variable,No
42,High,Small,3BHK-Apt,Owned,High,10-20yrs,5,>10yrs,6.892225122,0,2,1,PPM,Variable,Variable,Yes
37,low,Small,Mansion,Owned,High,10-20yrs,2,1-2yrs,7.84842859,0,6,5,SD,Variable,Variable,Yes
52,medium,Medium,1BHK-Apt,Owned,Low,20-30yrs,4,1-2yrs,5.778135537,1,7,1,PPM,Fixed,Fixed,Yes
42,medium,Large,3BHK-Apt,Owned,High,20-30yrs,2,2-5yrs,6.515818574,3,10,9,DD,Variable,Variable,No
43,medium,Medium,2BHK-Apt,Rented,Low,20-30yrs,8,>10yrs,2.703326597,0,6,3,SD,Variable,Variable,No
35,medium,Small,Mansion,Owned,Low,20-30yrs,5,>10yrs,5.512497597,0,10,3,DD,Fixed,Fixed,No
33,low,Medium,1BHK-Apt,Owned,Medium,10-20yrs,8,1-2yrs,4.966565605,2,2,1,Others,Fixed,Fixed,Yes
30,medium,Large,1BHK-Apt,Owned,High,10-20yrs,1,2-5yrs,0.508678637,1,2,0,PPM,Fixed,Fixed,No
35,medium,Medium,2BHK-Apt,Owned,Medium,20-30yrs,3,<1yr,6.307284729,4,7,4,PPM,Fixed,Fixed,No
31,medium,Large,2BHK-Apt,Rented,Medium,20-30yrs,1,2-5yrs,8.883446832,1,3,0,Others,Fixed,Fixed,No
42,medium,Large,2BHK-Apt,Owned,High,20-30yrs,2,2-5yrs,2.309138199,2,3,2,Others,Fixed,Fixed,No
40,medium,Medium,1BHK-Apt,Rented,High,>30yrs,2,2-5yrs,6.403259162,2,1,0,PPM,Variable,Variable,No
55,medium,Small,2BHK-Apt,Rented,Medium,20-30yrs,6,>5yrs,3.742671904,2,1,0,PPM,Variable,Variable,No
45,medium,Small,3BHK-Apt,Rented,Medium,<10yrs,1,<1yr,5.066977086,0,0,0,SD,Fixed,Fixed,No
41,High,Medium,3BHK-Apt,Owned,Low,<10yrs,2,2-5yrs,2.559863045,2,8,3,PPM,Fixed,Fixed,No
39,medium,Medium,3BHK-Apt,Owned,Low,10-20yrs,1,1-2yrs,5.532589504,1,6,3,SD,Variable,Variable,No
32,High,Small,2BHK-Apt,Owned,Low,<10yrs,1,1-2yrs,0.610796575,1,1,0,Others,Variable,Variable,Yes
50,High,Small,2BHK-Apt,Owned,Medium,20-30yrs,4,>10yrs,4.449275469,2,2,0,SD,Fixed,Fixed,No
34,High,Large,3BHK-Apt,Rented,Low,20-30yrs,3,>5yrs,1.862824449,0,6,2,SD,Fixed,Fixed,Yes
52,High,Small,3BHK-Apt,Owned,High,20-30yrs,7,1-2yrs,3.187335029,1,2,0,DD,Variable,Variable,No
41,High,Medium,2BHK-Apt,Owned,High,10-20yrs,7,1-2yrs,0.315375297,1,8,2,DD,Variable,Variable,No
26,High,Medium,2BHK-Apt,Owned,Medium,<10yrs,1,2-5yrs,3.392876292,0,4,1,DD,Fixed,Fixed,No
34,low,Small,3BHK-Apt,Owned,High,20-30yrs,3,2-5yrs,6.987166655,3,6,2,PPM,Variable,Variable,Yes
33,medium,Small,1BHK-Apt,Rented,Low,>30yrs,3,2-5yrs,3.964430442,0,8,5,SD,Fixed,Fixed,No
40,medium,Large,1BHK-Apt,Owned,Medium,20-30yrs,6,1-2yrs,8.153573816,0,3,0,DD,Fixed,Fixed,No
36,medium,Small,3BHK-Apt,Owned,High,20-30yrs,5,1-2yrs,2.497830379,4,4,1,SD,Variable,Variable,No
38,medium,Large,2BHK-Apt,Rented,Low,20-30yrs,1,>10yrs,5.775702175,0,6,4,SD,Fixed,Fixed,No
38,low,Medium,2BHK-Apt,Rented,Low,20-30yrs,2,2-5yrs,0.238706389,1,10,7,SD,Variable,Variable,No
40,medium,Medium,Mansion,Owned,Medium,<10yrs,2,1-2yrs,7.106720232,1,0,0,DD,Variable,Variable,No
36,low,Medium,2BHK-Apt,Owned,Medium,10-20yrs,4,>5yrs,4.272462243,3,9,2,Others,Fixed,Fixed,No
41,low,Medium,2BHK-Apt,Owned,Medium,>30yrs,3,>5yrs,4.671252094,0,9,6,SD,Fixed,Fixed,No
49,medium,Large,3BHK-Apt,Rented,High,<10yrs,6,1-2yrs,3.945747301,0,3,1,SD,Fixed,Fixed,Yes
49,medium,Medium,3BHK-Apt,Owned,Medium,10-20yrs,3,1-2yrs,2.060770235,3,5,0,Others,Variable,Variable,No
38,medium,Large,3BHK-Apt,Owned,High,20-30yrs,4,2-5yrs,7.961841399,0,9,0,SD,Variable,Variable,No
39,medium,Large,3BHK-Apt,Owned,Medium,10-20yrs,8,2-5yrs,4.046405495,2,3,1,DD,Variable,Variable,No
42,low,Small,2BHK-Apt,Owned,High,20-30yrs,8,1-2yrs,3.364712459,0,10,6,DD,Fixed,Fixed,No
45,medium,Small,2BHK-Apt,Owned,High,10-20yrs,4,2-5yrs,9.538802182,1,4,0,SD,Variable,Variable,No
28,High,Large,3BHK-Apt,Rented,Medium,20-30yrs,1,1-2yrs,4.472254968,1,3,2,DD,Variable,Variable,No
37,low,Large,2BHK-Apt,Owned,Medium,20-30yrs,3,<1yr,2.514863326,1,1,0,Others,Fixed,Fixed,No
38,medium,Small,2BHK-Apt,Rented,Medium,10-20yrs,5,>5yrs,0.855038113,0,5,3,DD,Fixed,Fixed,No
41,medium,Large,3BHK-Apt,Owned,Low,>30yrs,8,>5yrs,4.701228923,3,7,3,SD,Variable,Variable,No
37,High,Small,3BHK-Apt,Owned,High,20-30yrs,6,1-2yrs,4.495937563,1,9,7,SD,Variable,Variable,No
41,High,Medium,2BHK-Apt,Owned,Low,20-30yrs,3,1-2yrs,16.89473993,3,1,0,PPM,Fixed,Fixed,Yes
43,medium,Large,Mansion,Owned,Low,20-30yrs,6,1-2yrs,4.037327792,1,4,1,Others,Fixed,Fixed,No
30,medium,Medium,2BHK-Apt,Rented,High,10-20yrs,2,>5yrs,13.10093086,1,8,2,PPM,Variable,Variable,No
59,low,Large,3BHK-Apt,Owned,High,20-30yrs,2,<1yr,2.055553007,1,8,1,SD,Fixed,Fixed,No
41,medium,Large,2BHK-Apt,Owned,Medium,>30yrs,2,2-5yrs,16.40983054,1,8,2,DD,Variable,Variable,No
31,High,Small,3BHK-Apt,Rented,Low,10-20yrs,5,2-5yrs,8.170945877,3,1,0,DD,Variable,Variable,No
57,medium,Medium,2BHK-Apt,Owned,Medium,20-30yrs,4,1-2yrs,4.143406776,0,6,2,SD,Variable,Variable,No
45,low,Small,3BHK-Apt,Rented,Medium,20-30yrs,3,>10yrs,9.478817416,0,7,6,Others,Variable,Variable,Yes
34,low,Small,5BHK-House,Owned,High,20-30yrs,4,1-2yrs,10.08204089,0,4,3,SD,Variable,Variable,Yes
34,medium,Medium,2BHK-Apt,Owned,Medium,>30yrs,3,>5yrs,4.15417709,1,1,0,PPM,Fixed,Fixed,No
43,High,Medium,3BHK-Apt,Rented,High,20-30yrs,1,>10yrs,4.045542433,4,3,1,PPM,Variable,Variable,No
35,low,Medium,2BHK-Apt,Rented,Low,10-20yrs,3,>5yrs,5.525876508,4,9,7,Others,Variable,Variable,No
58,High,Medium,2BHK-Apt,Rented,Medium,<10yrs,1,1-2yrs,5.113952939,2,8,2,PPM,Variable,Variable,No
34,medium,Small,2BHK-Apt,Rented,Medium,>30yrs,1,2-5yrs,1.541782716,2,8,6,Others,Fixed,Fixed,No
32,High,Large,3BHK-Apt,Owned,Low,10-20yrs,1,2-5yrs,3.089401832,1,2,1,Others,Variable,Variable,No
35,medium,Medium,3BHK-Apt,Rented,Low,20-30yrs,1,2-5yrs,2.991652921,3,2,0,PPM,Fixed,Fixed,No
31,medium,Small,Mansion,Rented,Low,10-20yrs,1,2-5yrs,1.165772193,4,10,3,DD,Variable,Variable,Yes
32,low,Medium,2BHK-Apt,Owned,High,20-30yrs,1,2-5yrs,5.282137428,0,1,0,PPM,Variable,Variable,No
41,medium,Large,3BHK-Apt,Rented,Medium,<10yrs,3,2-5yrs,17.84256625,2,5,2,SD,Fixed,Fixed,No
40,medium,Large,2BHK-Apt,Rented,Medium,10-20yrs,3,1-2yrs,3.751853491,2,5,1,DD,Variable,Variable,No
36,High,Medium,5BHK-House,Owned,High,>30yrs,2,1-2yrs,2.61409232,3,5,1,PPM,Fixed,Fixed,No
43,medium,Large,2BHK-Apt,Owned,Low,10-20yrs,5,>10yrs,2.846057508,0,2,0,SD,Fixed,Fixed,No
30,medium,Large,2BHK-Apt,Owned,Low,>30yrs,9,2-5yrs,1.831262767,1,4,2,DD,Fixed,Fixed,No
34,High,Small,Mansion,Owned,Medium,<10yrs,5,<1yr,6.781179744,0,4,0,DD,Fixed,Fixed,No
24,medium,Large,3BHK-Apt,Owned,Low,20-30yrs,2,>10yrs,4.963297688,0,6,2,Others,Variable,Variable,No
46,low,Small,5BHK-House,Owned,High,20-30yrs,8,<1yr,8.695712896,3,7,6,DD,Fixed,Fixed,Yes
24,low,Large,2BHK-Apt,Owned,Low,10-20yrs,4,2-5yrs,3.142069498,1,7,4,Others,Variable,Variable,No
31,medium,Large,2BHK-Apt,Owned,Low,>30yrs,1,1-2yrs,5.516578476,0,5,3,PPM,Fixed,Fixed,No
44,High,Large,3BHK-Apt,Rented,High,20-30yrs,6,2-5yrs,1.818316756,2,1,0,SD,Variable,Variable,No
55,low,Medium,3BHK-Apt,Owned,Medium,10-20yrs,4,<1yr,1.81460418,0,1,0,DD,Variable,Variable,No
29,High,Medium,1BHK-Apt,Owned,High,<10yrs,5,>10yrs,17.55405429,0,7,1,PPM,Variable,Variable,No
23,High,Large,3BHK-Apt,Owned,Medium,10-20yrs,4,1-2yrs,3.908238185,1,8,3,Others,Fixed,Fixed,No
47,medium,Small,5BHK-House,Owned,High,10-20yrs,2,<1yr,3.525892393,1,4,3,DD,Variable,Variable,Yes
48,medium,Small,5BHK-House,Owned,Low,10-20yrs,2,2-5yrs,13.51473605,1,5,0,PPM,Variable,Variable,No
39,low,Small,5BHK-House,Owned,High,10-20yrs,1,2-5yrs,9.09394865,4,6,3,Others,Variable,Variable,No
40,High,Large,3BHK-Apt,Owned,Medium,10-20yrs,2,1-2yrs,10.36955409,0,9,0,SD,Variable,Variable,No
42,medium,Large,3BHK-Apt,Owned,Medium,10-20yrs,5,2-5yrs,3.769103718,4,6,2,SD,Variable,Variable,Yes
46,medium,Small,5BHK-House,Owned,Medium,20-30yrs,2,1-2yrs,3.109097125,2,10,9,DD,Fixed,Fixed,No
36,High,Small,3BHK-Apt,Owned,Low,20-30yrs,6,2-5yrs,7.7601788,0,4,1,PPM,Variable,Variable,Yes
34,High,Small,3BHK-Apt,Owned,Medium,<10yrs,3,1-2yrs,4.193698179,0,0,0,PPM,Variable,Variable,No
27,low,Small,3BHK-Apt,Owned,Low,20-30yrs,1,1-2yrs,1.505794853,3,0,0,SD,Fixed,Fixed,Yes
36,low,Small,2BHK-Apt,Rented,High,20-30yrs,7,<1yr,6.270332895,0,3,2,Others,Fixed,Fixed,No
41,medium,Medium,2BHK-Apt,Owned,Low,20-30yrs,4,2-5yrs,5.588006159,3,9,3,SD,Variable,Variable,No
29,medium,Small,Mansion,Owned,Medium,20-30yrs,2,>5yrs,5.527155513,0,0,0,Others,Fixed,Fixed,No
44,low,Large,2BHK-Apt,Rented,Low,10-20yrs,5,2-5yrs,1.714188085,3,10,3,Others,Variable,Variable,Yes
33,medium,Large,2BHK-Apt,Rented,Medium,20-30yrs,2,<1yr,9.905829861,2,2,0,Others,Fixed,Fixed,No
36,low,Medium,2BHK-Apt,Owned,High,20-30yrs,3,>5yrs,2.725719803,2,6,1,PPM,Fixed,Fixed,No
40,low,Medium,2BHK-Apt,Owned,High,>30yrs,2,2-5yrs,2.339065163,4,8,7,Others,Fixed,Fixed,No
35,High,Small,3BHK-Apt,Owned,Low,20-30yrs,2,2-5yrs,2.843728767,0,0,0,DD,Variable,Variable,No
31,low,Medium,3BHK-Apt,Owned,Medium,10-20yrs,7,>5yrs,11.95837018,1,7,1,SD,Variable,Variable,Yes
46,medium,Large,3BHK-Apt,Rented,High,10-20yrs,6,<1yr,1.471731837,1,3,2,SD,Variable,Variable,No
43,medium,Medium,2BHK-Apt,Owned,High,20-30yrs,2,2-5yrs,9.443909013,0,8,2,Others,Fixed,Fixed,No
47,medium,Medium,1BHK-Apt,Rented,Medium,10-20yrs,4,1-2yrs,5.443913663,0,2,0,SD,Fixed,Fixed,Yes
36,medium,Large,5BHK-House,Owned,Low,>30yrs,2,1-2yrs,1.061867456,3,4,1,Others,Variable,Variable,Yes
41,High,Large,2BHK-Apt,Rented,Medium,10-20yrs,6,2-5yrs,2.662871272,1,2,1,DD,Fixed,Fixed,No
31,medium,Medium,2BHK-Apt,Owned,Medium,20-30yrs,1,<1yr,4.236092448,0,5,1,DD,Variable,Variable,No
52,medium,Medium,2BHK-Apt,Rented,Medium,20-30yrs,4,1-2yrs,2.121329414,0,8,6,Others,Variable,Variable,No
34,High,Small,3BHK-Apt,Owned,High,10-20yrs,6,1-2yrs,6.966919474,2,9,5,Others,Fixed,Fixed,Yes
37,low,Large,2BHK-Apt,Owned,Medium,<10yrs,1,1-2yrs,6.222901662,1,1,0,DD,Variable,Variable,No
43,medium,Large,2BHK-Apt,Owned,Low,20-30yrs,3,2-5yrs,0.429424185,3,0,1,DD,Variable,Variable,No
53,medium,Large,2BHK-Apt,Rented,Low,<10yrs,4,2-5yrs,1.14625657,2,7,1,PPM,Variable,Variable,No
28,low,Medium,5BHK-House,Owned,Low,>30yrs,2,1-2yrs,9.287486532,1,0,0,PPM,Variable,Variable,No
57,High,Medium,2BHK-Apt,Owned,Low,20-30yrs,2,<1yr,1.344119891,1,2,0,SD,Fixed,Fixed,Yes
32,low,Small,3BHK-Apt,Rented,Medium,10-20yrs,5,1-2yrs,5.992943161,3,10,4,PPM,Fixed,Fixed,Yes
49,medium,Small,1BHK-Apt,Owned,High,20-30yrs,6,1-2yrs,4.696546988,2,1,0,PPM,Fixed,Fixed,No
48,low,Medium,3BHK-Apt,Owned,High,>30yrs,2,<1yr,2.149893437,0,10,6,DD,Fixed,Fixed,Yes
36,High,Medium,3BHK-Apt,Rented,High,<10yrs,5,2-5yrs,13.66410736,3,9,2,Others,Variable,Variable,No
37,low,Medium,3BHK-Apt,Owned,High,10-20yrs,4,2-5yrs,10.50905681,1,3,0,Others,Variable,Variable,No
36,High,Small,2BHK-Apt,Owned,Medium,20-30yrs,2,2-5yrs,6.701802723,1,3,2,DD,Fixed,Fixed,No
48,low,Large,3BHK-Apt,Owned,Medium,10-20yrs,2,2-5yrs,7.878381962,1,1,0,SD,Fixed,Fixed,No
46,medium,Medium,5BHK-House,Owned,High,10-20yrs,1,1-2yrs,4.275860972,3,0,1,Others,Variable,Variable,No
31,medium,Medium,3BHK-Apt,Rented,Low,<10yrs,3,2-5yrs,9.295292274,1,2,0,SD,Fixed,Fixed,No
44,medium,Large,3BHK-Apt,Rented,Medium,10-20yrs,3,1-2yrs,5.473395717,2,6,5,SD,Fixed,Fixed,Yes
41,medium,Medium,2BHK-Apt,Owned,Low,<10yrs,5,>5yrs,5.393248405,4,7,6,Others,Variable,Variable,No
18,low,Medium,3BHK-Apt,Rented,High,10-20yrs,6,<1yr,7.262178488,1,7,5,PPM,Variable,Variable,No
41,low,Medium,1BHK-Apt,Rented,High,10-20yrs,4,1-2yrs,8.031050953,3,4,1,DD,Fixed,Fixed,No
34,medium,Medium,2BHK-Apt,Rented,High,20-30yrs,1,>5yrs,0.35863007,4,0,0,SD,Fixed,Fixed,No
58,low,Medium,3BHK-Apt,Rented,High,>30yrs,7,2-5yrs,9.632649092,0,9,8,DD,Variable,Variable,No
42,High,Medium,5BHK-House,Owned,Medium,>30yrs,1,2-5yrs,3.204530002,1,10,2,SD,Fixed,Fixed,No
41,medium,Large,1BHK-Apt,Owned,Medium,20-30yrs,4,>10yrs,1.74801144,2,5,2,PPM,Fixed,Fixed,No
46,medium,Small,2BHK-Apt,Owned,Low,20-30yrs,1,>10yrs,1.895809195,4,2,0,SD,Variable,Variable,No
53,medium,Medium,Mansion,Owned,Medium,20-30yrs,1,2-5yrs,3.111981922,2,8,5,Others,Variable,Variable,No
41,low,Large,3BHK-Apt,Rented,Low,10-20yrs,3,2-5yrs,3.625370516,0,8,0,PPM,Variable,Variable,No
32,low,Medium,3BHK-Apt,Rented,Medium,>30yrs,2,<1yr,5.899132524,0,5,4,DD,Variable,Variable,No
51,High,Medium,3BHK-Apt,Rented,Low,10-20yrs,6,>5yrs,2.477760807,0,8,4,SD,Variable,Variable,No
27,low,Small,Mansion,Rented,Low,20-30yrs,6,2-5yrs,1.44366827,0,0,0,SD,Fixed,Fixed,No
51,low,Large,3BHK-Apt,Owned,Medium,20-30yrs,3,2-5yrs,0.924268951,0,2,0,Others,Fixed,Fixed,No
30,medium,Small,5BHK-House,Rented,High,10-20yrs,3,1-2yrs,4.967255529,1,6,5,PPM,Fixed,Fixed,No
40,low,Medium,2BHK-Apt,Owned,High,20-30yrs,8,1-2yrs,2.752472791,1,0,0,SD,Fixed,Fixed,No
30,low,Small,3BHK-Apt,Owned,Low,<10yrs,2,1-2yrs,3.080490098,4,3,1,PPM,Variable,Variable,Yes
35,High,Small,3BHK-Apt,Owned,Medium,20-30yrs,3,2-5yrs,1.084118507,0,4,2,SD,Fixed,Fixed,No
38,medium,Small,2BHK-Apt,Owned,Medium,10-20yrs,10,2-5yrs,6.604904347,2,9,1,PPM,Fixed,Fixed,No
46,low,Large,2BHK-Apt,Owned,Medium,<10yrs,1,2-5yrs,0.651901998,1,8,5,PPM,Fixed,Fixed,No
31,medium,Medium,5BHK-House,Rented,High,10-20yrs,2,2-5yrs,3.334564354,1,1,0,Others,Variable,Variable,No
61,High,Large,Mansion,Owned,Low,<10yrs,4,2-5yrs,6.234063747,1,6,0,SD,Variable,Variable,No
53,low,Medium,1BHK-Apt,Rented,Medium,>30yrs,1,>5yrs,5.712430403,1,6,0,Others,Variable,Variable,No
36,High,Small,1BHK-Apt,Rented,Low,>30yrs,1,1-2yrs,3.400637528,1,5,4,PPM,Variable,Variable,No
33,medium,Medium,2BHK-Apt,Owned,Low,10-20yrs,5,1-2yrs,0.571749455,1,10,4,SD,Fixed,Fixed,Yes
31,High,Large,2BHK-Apt,Rented,High,20-30yrs,2,1-2yrs,8.28519965,0,1,0,DD,Variable,Variable,No
36,medium,Medium,2BHK-Apt,Owned,Low,<10yrs,1,2-5yrs,4.677796997,3,9,5,Others,Fixed,Fixed,Yes
39,low,Medium,Mansion,Owned,Medium,<10yrs,4,2-5yrs,2.712905699,3,8,3,SD,Variable,Variable,No
41,medium,Large,2BHK-Apt,Owned,High,20-30yrs,1,2-5yrs,6.490733048,0,3,0,Others,Variable,Variable,No
43,High,Small,2BHK-Apt,Rented,Medium,10-20yrs,1,2-5yrs,5.231922813,1,0,0,DD,Variable,Variable,No
33,medium,Small,3BHK-Apt,Rented,Medium,10-20yrs,5,<1yr,4.187120572,0,5,3,Others,Fixed,Fixed,No
28,medium,Medium,3BHK-Apt,Owned,High,>30yrs,7,1-2yrs,3.287269243,3,0,0,SD,Variable,Variable,No
64,low,Medium,Mansion,Rented,High,<10yrs,3,>5yrs,4.23066207,2,1,0,DD,Variable,Variable,No
46,low,Medium,5BHK-House,Rented,High,20-30yrs,5,2-5yrs,5.636868003,3,3,1,PPM,Variable,Variable,No
38,low,Medium,2BHK-Apt,Owned,Low,10-20yrs,2,2-5yrs,1.37080642,0,9,5,DD,Fixed,Fixed,No
36,High,Medium,1BHK-Apt,Owned,High,20-30yrs,6,1-2yrs,6.379148214,1,6,3,SD,Fixed,Fixed,No
38,medium,Small,2BHK-Apt,Rented,High,20-30yrs,5,>10yrs,5.333475256,1,9,4,Others,Fixed,Fixed,No
29,low,Small,3BHK-Apt,Owned,Medium,>30yrs,5,>5yrs,4.683519907,3,5,0,Others,Fixed,Fixed,Yes
35,low,Large,Mansion,Rented,Low,20-30yrs,7,1-2yrs,4.478372116,0,1,0,DD,Fixed,Fixed,No
46,low,Medium,3BHK-Apt,Owned,Medium,10-20yrs,3,1-2yrs,6.899137451,1,4,3,DD,Fixed,Fixed,Yes
45,medium,Medium,3BHK-Apt,Owned,High,20-30yrs,3,>5yrs,0.517795883,3,1,0,SD,Fixed,Fixed,No
51,medium,Medium,2BHK-Apt,Rented,Low,20-30yrs,4,<1yr,6.297668975,0,1,0,PPM,Variable,Variable,No
44,low,Large,2BHK-Apt,Owned,Low,<10yrs,7,2-5yrs,1.612588071,2,2,1,PPM,Fixed,Fixed,No
31,High,Large,3BHK-Apt,Owned,Low,<10yrs,1,2-5yrs,9.531857266,3,10,6,DD,Variable,Variable,No
35,medium,Medium,2BHK-Apt,Owned,Medium,10-20yrs,7,1-2yrs,6.813356485,0,2,1,PPM,Variable,Variable,No
31,High,Large,2BHK-Apt,Owned,Medium,20-30yrs,5,2-5yrs,5.97208404,3,6,2,DD,Fixed,Fixed,No
46,medium,Small,2BHK-Apt,Owned,Low,>30yrs,2,2-5yrs,2.333682795,1,8,7,SD,Fixed,Fixed,Yes
36,High,Medium,3BHK-Apt,Rented,High,10-20yrs,5,>10yrs,4.453723584,1,6,3,SD,Variable,Variable,No
34,medium,Large,2BHK-Apt,Owned,Medium,>30yrs,7,>10yrs,2.572320575,1,4,2,SD,Variable,Variable,No
29,low,Small,3BHK-Apt,Owned,Low,20-30yrs,3,2-5yrs,3.432514454,4,3,2,DD,Variable,Variable,No
48,High,Medium,2BHK-Apt,Rented,Medium,<10yrs,4,1-2yrs,10.07617551,0,3,1,PPM,Variable,Variable,No
34,low,Medium,Mansion,Owned,Low,10-20yrs,6,2-5yrs,7.385775868,1,9,6,SD,Fixed,Fixed,No
